OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total,OrderDate
43016,Louisville Llama Farm,II,9.46,Dirt,271124.00,0.78,3.33,211476.72,902842.92,105414.64,1219734.28,01-02-2020
43019,Bill Gates,KY,6,Wood,262867.00,12.50,9.25,3285837.50,2431519.75,343041.44,6060398.69,01-02-2020
43045,Thomas J. Watson,LO,9.46,Distressed Red Oak,245652.00,18.57,23.33,4561757.64,5731061.16,973700.66,11266519.46,01-02-2020
43050,Penn Jillette,WY,9.46,Tile,42075.00,1.50,14.30,63112.50,601672.50,62888.66,727673.66,01-02-2020
43099,The Boring Company,OH,7.14,Disco Light Up Panels,268003.00,40.78,23.33,10929162.34,6252509.99,1226771.40,18408443.73,01-02-2020
43117,Penn Jillette,OH,7.14,Carpet,153838.00,12.50,6.30,1922975.00,969179.40,206499.82,3098654.22,01-02-2020
43180,Bill Gates,XX,9.46,Trampoline,206377.00,20.78,13.33,4288514.06,2751005.41,665938.54,7705458.01,01-02-2020
43237,Thurston Howell# III,XX,9.46,Disco Light Up Panels,289034.00,40.78,23.33,11786806.52,6743163.22,1752935.14,20282904.88,01-02-2020
43251,Thomas J. Watson,RI,7,Carpet,191429.00,12.50,6.30,2392862.50,1206002.70,251920.56,3850785.76,01-02-2020
43330,Alphabet,DN,9.46,Wood,240763.00,12.50,9.25,3009537.50,2227057.75,495381.91,5731977.16,01-02-2020
43349,Alex Trebek,LO,9.46,Mosaic Tile,145091.00,18.50,49.25,2684183.50,7145731.75,929909.98,10759825.23,01-02-2020
43422,Albert Einstein,ZZ,9.46,Asphalt,21551.00,10.78,13.33,232319.78,287274.83,49153.65,568748.26,01-02-2020
43477,Thomas J. Watson,AK,1.76,Mosaic Tile,124719.00,18.50,49.25,2307301.50,6142410.75,148714.94,8598427.19,01-02-2020
43497,Thurston Howell# III,TX,8.19,Mosaic Tile,199765.00,18.50,49.25,3695652.50,9838426.25,1108441.05,14642519.80,01-02-2020
43523,Penn Jillette,KY,6,Carpet,251034.00,12.50,6.30,3137925.00,1581514.20,283166.35,5002605.55,01-02-2020
43593,Alphabet,ZZ,9.46,Bamboo,152454.00,18.50,9.25,2820399.00,1410199.50,400214.62,4630813.12,01-02-2020
43635,Charles Babbage,WY,9.46,Disco Light Up Panels,12573.00,40.78,23.33,512726.94,293328.09,76252.81,882307.84,01-02-2020
43714,Apple,LO,9.46,Distressed Red Oak,232197.00,18.57,23.33,4311898.29,5417156.01,920368.54,10649422.84,01-02-2020
43776,Charles Darwin,DN,9.46,Trampoline,265434.00,20.78,13.33,5515718.52,3538235.22,856504.02,9910457.76,01-02-2020
7238,Monsters Inc.,WY,9.46,Trampoline,137197.00,20.78,13.33,2850953.66,1828836.01,442708.10,5122497.77,01-02-2027
7307,Albert Einstein,LO,9.46,Laminate,92786.00,4.50,9.80,417537.00,909302.80,125519.05,1452358.85,01-02-2027
7331,Alan M. Galloway# Jr.,RI,7,Tile,88402.00,1.50,14.30,132603.00,1264148.60,97772.61,1494524.21,01-02-2027
7428,Jaden Smith,OH,7.14,Laminate,148936.00,4.50,9.80,670212.00,1459572.80,152066.63,2281851.43,01-02-2027
7495,Thomas J. Watson,AK,1.76,Straw,35300.00,1.80,3.25,63540.00,114725.00,3137.46,181402.46,01-02-2027
7590,Jean Ichbiah,WY,9.46,Asphalt,26861.00,10.78,13.33,289561.58,358057.13,61264.73,708883.44,01-02-2027
