OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
276457,Ada Lovelace,AK,1.76,Laminate,242319,4.5,9.8,1090435.5,2374726.2,60986.85,3526148.55
276464,"Thurston Howell, III",RI,7,Granite,37052,72.5,29.25,2686270,1083771,263902.87,4033943.87
276515,Charles Darwin,LO,9.46,Granite,241565,72.5,29.25,17513462.5,7065776.25,2325195.99,26904434.74
276606,"Alan M. Galloway, Jr.",ZZ,9.46,Tile,33833,1.5,14.3,50749.5,483811.9,50569.51,585130.91
276676,Ada Lovelace,RI,7,Distressed Red Oak,271622,18.57,23.33,5044020.54,6336941.26,796667.33,12177629.13
276695,"Alphabet",WY,9.46,Distressed Red Oak,159362,18.57,23.33,2959352.34,3717915.46,631669.53,7308937.33
276740,Jaden Smith,XX,9.46,Marble,125552,88.73,34.25,11140228.96,4300156,1460660.42,16901045.38
276777,"Alan M. Galloway, Jr.",DN,9.46,Asphalt,435,10.78,13.33,4689.3,5798.55,992.15,11480
276818,"Adams, Douglas",HI,4.35,Laminate,67057,4.5,9.8,301756.5,657158.6,41712.81,1000627.91
276870,Charles Babbage,XX,9.46,Straw,54507,1.8,3.25,98112.6,177147.75,26039.63,301299.98
		276940,"Alan M. Galloway, Sr.",LO,9.46,Tile,246305,1.5,14.3,369457.5,3522161.5,368147.16,4259766.16
276966,Charles Babbage,XX,9.46,Mosaic Tile,199107,18.5,49.25,3683479.5,9806019.75,1276106.63,14765605.88
277007,Grace Murray Hopper,OH,7.14,Carpet,295141,12.5,6.3,3689262.5,1859388.3,396173.67,5944824.47
277060,Bill Gates,OH,7.14,Distressed Red Oak,257367,18.57,23.33,4779305.19,6004372.11,769954.56,11553631.86
277060,Louisville Llama Farm,RI,7,Straw,108682,1.8,3.25,195627.6,353216.5,38419.09,587263.19
277127,Charles Darwin,OH,7.14,Tile,70017,1.5,14.3,105025.5,1001243.1,78987.58,1185256.18

277188,"Thurston Howell, III",KY,6,Trampoline,92878,20.78,13.33,1930004.84,1238063.74,190084.11,3358152.69
277212,Charles Darwin,WY,9.46,Wood,236094,12.5,9.25,2951175,2183869.5,485775.21,5620819.71
277228,Elon Musk,ZZ,9.46,Mosaic Tile,137794,18.5,49.25,2549189,6786354.5,883142.42,10218685.92
277228,Alex Trebek,II,9.46,Trampoline,231779,20.78,13.33,4816367.62,3089614.07,747905.87,8653887.56
277281,Penn Jillette,II,9.46,Mosaic Tile,161608,18.5,49.25,2989748,7959194,1035769.91,11984711.91
		277344,"Alan M. Galloway, Jr.",HI,4.35,Trampoline,280159,20.78,13.33,5821704.02,3734519.47,415695.72,9971919.21
277381,Apple,ZZ,9.46,Disco Light Up Panels,239563,40.78,23.33,9769379.14,5589004.79,1452903.12,16811287.05
277411,Albert Einstein,HI,4.35,Tile,71531,1.5,14.3,107296.5,1022893.3,49163.26,1179353.06
